iter	Passed	Remaining
0	150	149949
1	151	75805
2	153	51078
3	155	38691
4	157	31290
5	159	26376
6	161	22873
7	163	20268
8	165	18249
9	167	16616
10	169	15278
11	171	14144
12	173	13174
13	175	12338
14	176	11589
15	177	10934
16	178	10349
17	180	9837
18	181	9355
19	182	8925
20	183	8557
21	184	8215
22	185	7896
23	187	7607
24	188	7341
25	189	7092
26	190	6862
27	191	6645
28	192	6440
29	193	6249
30	194	6079
31	195	5912
32	196	5763
33	197	5621
34	198	5480
35	199	5355
36	201	5236
37	202	5127
38	203	5019
39	204	4910
40	205	4809
41	206	4717
42	207	4624
43	208	4536
44	209	4449
45	210	4371
46	211	4295
47	212	4218
48	213	4145
49	214	4080
50	215	4013
51	216	3950
52	217	3888
53	218	3830
54	219	3777
55	220	3723
56	222	3673
57	223	3624
58	224	3574
59	224	3524
60	226	3481
61	227	3435
62	228	3392
63	228	3348
64	230	3310
65	231	3275
66	232	3238
67	233	3196
68	234	3160
69	235	3127
70	236	3100
71	237	3067
72	238	3034
73	240	3007
74	241	2978
75	242	2948
76	243	2920
77	244	2892
78	245	2865
79	246	2839
80	247	2810
81	248	2784
82	249	2757
83	250	2733
84	251	2711
85	252	2688
86	253	2661
87	254	2638
88	255	2615
89	256	2593
90	257	2570
91	258	2547
92	259	2526
93	259	2505
94	260	2485
95	261	2465
96	263	2448
97	264	2429
98	265	2413
99	266	2397
100	267	2381
101	267	2358
102	268	2342
103	269	2325
104	270	2308
105	271	2293
106	273	2280
107	274	2266
108	275	2250
109	276	2235
110	277	2219
111	277	2203
112	278	2188
113	279	2175
114	281	2162
115	281	2148
116	282	2133
117	283	2120
118	284	2104
119	285	2091
120	286	2079
121	287	2066
122	287	2050
123	288	2037
124	289	2025
125	290	2013
126	291	2001
127	291	1987
128	292	1975
129	293	1963
130	294	1952
131	295	1941
132	296	1931
133	297	1920
134	298	1909
135	298	1898
136	299	1888
137	300	1877
138	301	1867
139	302	1857
140	303	1848
141	304	1838
142	305	1829
143	306	1820
144	307	1811
145	308	1801
146	308	1792
147	310	1784
148	311	1777
149	311	1767
150	312	1757
151	313	1747
152	313	1736
153	314	1726
154	314	1716
155	315	1706
156	316	1697
157	316	1687
158	317	1678
159	317	1669
160	318	1660
161	319	1652
162	320	1645
163	321	1637
164	321	1628
165	322	1621
166	323	1614
167	324	1608
168	325	1602
169	326	1594
170	327	1586
171	327	1578
172	328	1569
173	328	1561
174	329	1553
175	330	1545
176	330	1537
177	331	1530
178	331	1522
179	332	1514
180	332	1505
181	333	1498
182	333	1490
183	334	1483
184	335	1476
185	335	1468
186	336	1461
187	336	1454
188	337	1447
189	337	1440
190	338	1433
191	339	1428
192	340	1423
193	341	1417
194	341	1410
195	342	1404
196	342	1397
197	343	1391
198	344	1384
199	344	1378
200	345	1372
201	345	1366
202	346	1360
203	347	1354
204	347	1348
205	348	1342
206	348	1336
207	349	1330
208	349	1324
209	350	1318
210	351	1312
211	351	1306
212	352	1301
213	352	1295
214	353	1290
215	353	1284
216	354	1280
217	355	1275
218	356	1270
219	356	1264
220	357	1259
221	357	1254
222	358	1249
223	359	1243
224	359	1238
225	360	1233
226	360	1228
227	361	1223
228	361	1218
229	362	1213
230	363	1208
231	363	1203
232	364	1198
233	364	1194
234	365	1189
235	365	1184
236	366	1179
237	367	1175
238	367	1170
239	368	1165
240	369	1162
241	370	1158
242	370	1154
243	371	1150
244	371	1145
245	372	1141
246	372	1136
247	373	1132
248	374	1128
249	374	1123
250	375	1119
251	375	1115
252	376	1111
253	376	1107
254	377	1102
255	378	1098
256	378	1094
257	379	1090
258	379	1086
259	380	1082
260	380	1078
261	381	1074
262	381	1070
263	382	1066
264	383	1062
265	384	1059
266	385	1056
267	385	1053
268	386	1049
269	386	1045
270	387	1041
271	387	1038
272	388	1034
273	389	1031
274	389	1027
275	390	1023
276	390	1020
277	391	1016
278	392	1013
279	392	1009
280	393	1006
281	393	1002
282	394	999
283	394	995
284	395	992
285	395	988
286	396	985
287	397	981
288	397	978
289	398	975
290	399	973
291	400	970
292	400	967
293	401	964
294	402	960
295	402	957
296	403	954
297	404	951
298	404	948
299	405	945
300	405	942
301	406	939
302	406	935
303	407	932
304	408	929
305	408	926
306	409	923
307	409	920
308	410	917
309	410	914
310	411	911
311	411	908
312	412	905
313	413	903
314	414	901
315	414	898
316	415	895
317	416	892
318	416	889
319	417	886
320	417	883
321	418	880
322	418	877
323	419	874
324	419	872
325	420	869
326	421	866
327	421	863
328	422	861
329	422	858
330	423	855
331	423	852
332	424	850
333	425	847
334	425	844
335	426	842
336	426	839
337	427	838
338	428	836
339	429	833
340	430	831
341	430	828
342	431	826
343	431	823
344	432	820
345	432	818
346	433	815
347	434	813
348	434	810
349	435	808
350	435	805
351	436	803
352	436	800
353	437	798
354	437	795
355	438	793
356	439	790
357	439	788
358	440	785
359	440	783
360	441	781
361	442	779
362	443	777
363	443	775
364	444	773
365	445	771
366	445	768
367	446	766
368	446	764
369	447	762
370	448	759
371	448	757
372	449	755
373	449	752
374	450	750
375	450	748
376	451	746
377	452	743
378	452	741
379	453	739
380	453	737
381	454	735
382	454	732
383	455	730
384	456	728
385	456	726
386	457	725
387	458	723
388	459	721
389	459	719
390	460	716
391	460	714
392	461	712
393	462	710
394	462	708
395	463	706
396	463	704
397	464	702
398	464	700
399	465	698
400	466	696
401	466	694
402	467	692
403	467	690
404	468	688
405	468	686
406	469	684
407	470	681
408	470	680
409	471	678
410	472	677
411	473	675
412	473	673
413	474	671
414	474	669
415	475	667
416	476	665
417	476	663
418	477	661
419	477	659
420	478	657
421	478	655
422	479	654
423	480	652
424	480	650
425	481	648
426	481	646
427	482	644
428	482	642
429	483	640
430	483	638
431	484	637
432	485	635
433	485	633
434	486	632
435	487	630
436	488	629
437	488	627
438	489	625
439	490	623
440	490	622
441	491	620
442	491	618
443	492	616
444	492	614
445	493	613
446	494	611
447	494	609
448	495	607
449	495	606
450	496	604
451	496	602
452	497	600
453	498	599
454	498	597
455	499	595
456	499	594
457	500	592
458	501	591
459	502	589
460	503	588
461	503	586
462	504	584
463	504	583
464	505	581
465	505	579
466	506	578
467	507	576
468	507	574
469	508	573
470	508	571
471	509	569
472	509	568
473	510	566
474	511	564
475	511	563
476	512	561
477	512	560
478	513	558
479	513	556
480	514	555
481	515	553
482	515	552
483	516	551
484	517	549
485	518	548
486	518	546
487	519	544
488	519	543
489	520	541
490	521	540
491	521	538
492	522	537
493	522	535
494	523	533
495	523	532
496	524	530
497	524	529
498	525	527
499	526	526
500	526	524
501	527	523
502	527	521
503	528	520
504	529	518
505	529	517
506	530	515
507	531	514
508	531	513
509	532	511
510	533	510
511	533	508
512	534	507
513	534	505
514	535	504
515	535	502
516	536	501
517	537	499
518	537	498
519	538	496
520	538	495
521	539	494
522	540	492
523	540	491
524	541	489
525	541	488
526	542	486
527	542	485
528	543	483
529	544	482
530	544	481
531	545	479
532	546	478
533	547	477
534	547	476
535	548	474
536	548	473
537	549	471
538	549	470
539	550	468
540	551	467
541	551	466
542	552	464
543	552	463
544	553	461
545	553	460
546	554	459
547	555	457
548	555	456
549	556	455
550	556	453
551	557	452
552	557	450
553	558	449
554	558	448
555	559	446
556	560	445
557	561	444
558	561	443
559	562	441
560	563	440
561	563	439
562	564	437
563	564	436
564	565	435
565	565	433
566	566	432
567	567	431
568	567	429
569	568	428
570	568	427
571	569	425
572	569	424
573	570	423
574	570	421
575	571	420
576	572	419
577	572	418
578	573	416
579	573	415
580	574	414
581	575	413
582	575	411
583	576	410
584	577	409
585	577	408
586	578	406
587	578	405
588	579	404
589	580	403
590	580	401
591	581	400
592	581	399
593	582	397
594	582	396
595	583	395
596	583	394
597	584	392
598	585	391
599	585	390
600	586	389
601	586	387
602	587	386
603	587	385
604	588	384
605	588	382
606	589	381
607	590	381
608	591	379
609	592	378
610	592	377
611	593	376
612	593	374
613	594	373
614	595	372
615	595	371
616	596	370
617	596	368
618	597	367
619	597	366
620	598	365
621	598	363
622	599	362
623	600	361
624	600	360
625	601	359
626	601	357
627	602	356
628	602	355
629	603	354
630	603	353
631	604	352
632	605	351
633	606	350
634	606	348
635	607	347
636	608	346
637	608	345
638	609	344
639	609	343
640	610	341
641	611	340
642	611	339
643	612	338
644	612	337
645	613	336
646	613	334
647	614	333
648	615	332
649	615	331
650	616	330
651	616	329
652	617	327
653	617	326
654	618	325
655	619	324
656	620	323
657	620	322
658	621	321
659	621	320
660	622	319
661	623	318
662	623	316
663	624	315
664	624	314
665	625	313
666	625	312
667	626	311
668	627	310
669	627	309
670	628	308
671	628	306
672	629	305
673	629	304
674	630	303
675	631	302
676	631	301
677	632	300
678	632	299
679	633	298
680	634	297
681	635	296
682	636	295
683	636	294
684	637	293
685	637	291
686	638	290
687	639	289
688	639	288
689	640	287
690	640	286
691	641	285
692	641	284
693	642	283
694	643	282
695	643	281
696	644	280
697	644	278
698	645	277
699	645	276
700	646	275
701	646	274
702	647	273
703	648	272
704	649	271
705	649	270
706	650	269
707	651	268
708	651	267
709	652	266
710	652	265
711	653	264
712	653	263
713	654	262
714	655	261
715	655	260
716	656	258
717	656	257
718	657	256
719	657	255
720	658	254
721	659	253
722	659	252
723	660	251
724	660	250
725	661	249
726	661	248
727	662	247
728	663	246
729	664	245
730	665	244
731	665	243
732	666	242
733	666	241
734	667	240
735	668	239
736	668	238
737	669	237
738	669	236
739	670	235
740	670	234
741	671	233
742	672	232
743	672	231
744	673	230
745	673	229
746	674	228
747	674	227
748	675	226
749	676	225
750	676	224
751	677	223
752	678	222
753	679	221
754	680	220
755	680	219
756	681	218
757	682	217
758	682	216
759	683	215
760	683	214
761	684	213
762	685	212
763	685	211
764	686	210
765	686	209
766	687	208
767	687	207
768	688	206
769	689	205
770	689	204
771	690	203
772	690	202
773	691	201
774	691	200
775	692	200
776	693	199
777	694	198
778	695	197
779	695	196
780	696	195
781	696	194
782	697	193
783	697	192
784	698	191
785	699	190
786	699	189
787	700	188
788	700	187
789	701	186
790	701	185
791	702	184
792	703	183
793	703	182
794	704	181
795	704	180
796	705	179
797	705	178
798	706	177
799	707	176
800	708	176
801	709	175
802	709	174
803	710	173
804	710	172
805	711	171
806	711	170
807	712	169
808	713	168
809	713	167
810	714	166
811	714	165
812	715	164
813	715	163
814	716	162
815	717	161
816	717	160
817	718	159
818	718	158
819	719	157
820	719	156
821	720	156
822	721	155
823	721	154
824	722	153
825	723	152
826	724	151
827	724	150
828	725	149
829	726	148
830	726	147
831	727	146
832	727	145
833	728	144
834	729	144
835	729	143
836	730	142
837	730	141
838	731	140
839	731	139
840	732	138
841	733	137
842	733	136
843	734	135
844	735	134
845	735	133
846	736	132
847	737	132
848	738	131
849	738	130
850	739	129
851	740	128
852	740	127
853	741	126
854	741	125
855	742	124
856	742	123
857	743	123
858	744	122
859	744	121
860	745	120
861	745	119
862	746	118
863	746	117
864	747	116
865	748	115
866	748	114
867	749	113
868	749	113
869	750	112
870	751	111
871	752	110
872	752	109
873	753	108
874	754	107
875	754	106
876	755	105
877	755	105
878	756	104
879	757	103
880	757	102
881	758	101
882	758	100
883	759	99
884	760	98
885	760	97
886	761	96
887	761	96
888	762	95
889	763	94
890	763	93
891	764	92
892	765	91
893	765	90
894	767	89
895	768	89
896	768	88
897	769	87
898	769	86
899	770	85
900	771	84
901	771	83
902	772	82
903	772	82
904	773	81
905	773	80
906	774	79
907	775	78
908	775	77
909	776	76
910	776	75
911	777	75
912	778	74
913	778	73
914	779	72
915	779	71
916	780	70
917	781	69
918	782	68
919	782	68
920	783	67
921	784	66
922	784	65
923	785	64
924	785	63
925	786	62
926	787	61
927	787	61
928	788	60
929	788	59
930	789	58
931	790	57
932	790	56
933	791	55
934	791	55
935	792	54
936	792	53
937	793	52
938	793	51
939	794	50
940	795	49
941	795	48
942	796	48
943	797	47
944	798	46
945	798	45
946	799	44
947	799	43
948	800	43
949	800	42
950	801	41
951	802	40
952	802	39
953	803	38
954	803	37
955	804	37
956	805	36
957	805	35
958	806	34
959	806	33
960	807	32
961	808	31
962	808	31
963	809	30
964	809	29
965	810	28
966	811	27
967	812	26
968	813	26
969	813	25
970	814	24
971	814	23
972	815	22
973	815	21
974	816	20
975	817	20
976	817	19
977	818	18
978	818	17
979	819	16
980	820	15
981	820	15
982	821	14
983	821	13
984	822	12
985	822	11
986	823	10
987	823	10
988	824	9
989	825	8
990	826	7
991	826	6
992	827	5
993	828	4
994	828	4
995	829	3
996	829	2
997	830	1
998	830	0
999	831	0
